ID,question
1,En quoi votre entreprise est différente de vos concurrents ?
2,Avez-vous un avantage concurrentiel durable ?
3,Est-ce que votre entreprise a des relations exclusives avec des fournisseurs ou des distributeurs ?
4,Pouvez-vous facilement obtenir des capitaux supplémentaires si vous en avez besoin ?
5,Avez-vous une base de clientèle solide ?
6,Quelles sont les choses que vos clients disent que vous faites vraiment bien ?
7,Dans quels domaines devez-vous améliorer ?
8,Dans quels domaines vos concurrents sont-ils meilleurs que vous ?
9,Combien de dette avez-vous ?
10,Combien de plaintes recevez-vous de vos clients ?
11,Avez-vous des technologies ou des équipements qui doivent être mis à jour ?
12,Manquez-vous de personnel ?
13,Avez-vous des problèmes de trésorerie ?
14,Est-ce que vos marges bénéficiaires sont inférieures à celles de vos concurrents ?
15,Y a-t-il des talents disponibles que vous pourriez embaucher ?
16,Y a-t-il un besoin dans l'industrie que vous ne satisfaites pas mais que vous pourriez satisfaire ?
17,Pouvez-vous conditionner vos produits/services différemment et fixer un prix plus élevé ?
