Question,Objectif,Pourcentage
"En quoi votre entreprise est différente de vos concurrents ?",Renforcer l'avantage concurrentiel durable,90%
"Avez-vous un avantage concurrentiel durable ?",Renforcer l'avantage concurrentiel durable,10%
"Est-ce que votre entreprise a des relations exclusives avec des fournisseurs ou des distributeurs ?",Améliorer la capacité de financement,20%
"Pouvez-vous facilement obtenir des capitaux supplémentaires, si vous en avez besoin ?",Améliorer la capacité de financement,20%
"Avez-vous une base de clientèle solide ?",Améliorer la satisfaction client,60%
"Quelles sont les choses que vos clients disent que vous faites vraiment bien ?",Améliorer la satisfaction client,10%
"Dans quels domaines devez-vous améliorer ?",Optimiser les opérations internes,25%
"Dans quels domaines vos concurrents sont-ils meilleurs que vous ?",Améliorer la satisfaction client,10%
"Combien de dette avez-vous ?",Améliorer la capacité de financement,20%
"Combien de plaintes recevez-vous de vos clients ?",Améliorer la satisfaction client,10%
"Avez-vous des technologies ou des équipements qui doivent être mis à jour ?",Optimiser les opérations internes,15%
"Manquez-vous de personnel ?",Optimiser les opérations internes,25%
"Avez-vous des problèmes de trésorerie ?",Améliorer la capacité de financement,20%
"Est-ce que vos marges bénéficiaires sont inférieures à celles de vos concurrents ?",Optimiser les opérations internes,10%
"Y a-t-il des talents disponibles que vous pourriez embaucher ?",Optimiser les opérations internes,25%
"Y a-t-il un besoin dans l'industrie que vous ne satisfaisez pas mais que vous pourriez satisfaire ?",Améliorer la satisfaction client,10%
"Pouvez-vous conditionner vos produits/services différemment et fixer un prix plus élevé ?",Améliorer la capacité de financement,20%
