ID,Reponse,Score,Objectif,Pourcentage
1,Marketing,5,Renforcer l'avantage concurrentiel durable,50%
1,Compréhension des clients,2,Renforcer l'avantage concurrentiel durable,50%
1,Bonne image de marque,1,Renforcer l'avantage concurrentiel durable,50%
1,Autre,0,Renforcer l'avantage concurrentiel durable,50%
2,Oui,3,Renforcer l'avantage concurrentiel durable,70%
2,Non,0,Renforcer l'avantage concurrentiel durable,70%
3,Oui,2,Renforcer l'avantage concurrentiel durable,40%
3,Non,0,Renforcer l'avantage concurrentiel durable,40%
4,Facile,2,Renforcer l'avantage concurrentiel durable,20%
4,Difficile,1,Renforcer l'avantage concurrentiel durable,20%
4,Très facile,4,Renforcer l'avantage concurrentiel durable,20%
5,Oui,2,Renforcer l'avantage concurrentiel durable,50%
5,Non,0,Renforcer l'avantage concurrentiel durable,50%
6,Marketing,2,Renforcer l'avantage concurrentiel durable,30%
6,Compréhension des clients,3,Renforcer l'avantage concurrentiel durable,30%
6,Bonne image de marque,1,Renforcer l'avantage concurrentiel durable,30%
6,Autre,0,Renforcer l'avantage concurrentiel durable,30%
7,Marketing digital,3,Renforcer l'avantage concurrentiel durable,20%
7,Utiliser les nouvelles technologies,2,Renforcer l'avantage concurrentiel durable,20%
7,Améliorer la communication avec les clients,1,Renforcer l'avantage concurrentiel durable,20%
7,Trouver de nouvelles occasions,1,Renforcer l'avantage concurrentiel durable,20%
8,Rehausser l'image de marque,3,Renforcer l'avantage concurrentiel durable,20%
8,Marketing digital,1,Renforcer l'avantage concurrentiel durable,20%
8,Utiliser les nouvelles technologies,0,Renforcer l'avantage concurrentiel durable,20%
8,Améliorer la communication avec les clients,2,Renforcer l'avantage concurrentiel durable,20%
9,Beaucoup,0,Renforcer l'avantage concurrentiel durable,10%
9,Moyenne,1,Renforcer l'avantage concurrentiel durable,10%
9,Peu,2,Renforcer l'avantage concurrentiel durable,10%
9,Très peu,3,Renforcer l'avantage concurrentiel durable,10%
9,Énormément,-1,Renforcer l'avantage concurrentiel durable,10%
10,Beaucoup,0,Renforcer l'avantage concurrentiel durable,10%
10,Moyenne,1,Renforcer l'avantage concurrentiel durable,10%
10,Peu,2,Renforcer l'avantage concurrentiel durable,10%
10,Très peu,3,Renforcer l'avantage concurrentiel durable,10%
11,Non,2,Renforcer l'avantage concurrentiel durable,10%
11,Oui,0,Renforcer l'avantage concurrentiel durable,10%
12,Oui,0,Renforcer l'avantage concurrentiel durable,10%
12,Un peu,1,Renforcer l'avantage concurrentiel durable,10%
12,Non,2,Renforcer l'avantage concurrentiel durable,10%
13,Un peu,0,Renforcer l'avantage concurrentiel durable,10%
13,Non,2,Renforcer l'avantage concurrentiel durable,10%
13,Très supérieures,3,Renforcer l'avantage concurrentiel durable,10%
13,Supérieures,2,Renforcer l'avantage concurrentiel durable,10%
14,Légales,1,Renforcer l'avantage concurrentiel durable,10%
14,Inférieures,2,Renforcer l'avantage concurrentiel durable,10%
14,Très inférieures,0,Renforcer l'avantage concurrentiel durable,10%
15,Non,0,Renforcer l'avantage concurrentiel durable,10%
15,Oui,2,Renforcer l'avantage concurrentiel durable,10%
16,Oui,2,Renforcer l'avantage concurrentiel durable,50%
16,Quelques besoins,1,Renforcer l'avantage concurrentiel durable,50%
16,Non,0,Renforcer l'avantage concurrentiel durable,50%
17,Oui,2,Renforcer l'avantage concurrentiel durable,50%
17,Non,0,Renforcer l'avantage concurrentiel durable,50%
